group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 1,rabgap1l,43.220024,7.0731025,0.0,0.0,0.9895348837209302,0.16150529204233635
Neuroectoderm 1,nectin2,43.11332,5.131214,0.0,0.0,0.9941860465116279,0.3818110544884359
Neuroectoderm 1,epas1,43.086094,5.293486,0.0,0.0,0.9965116279069768,0.5852606820854567
Neuroectoderm 1,plpp3,41.103348,5.831573,0.0,0.0,0.958139534883721,0.16660133281066247
Neuroectoderm 1,atp12a-like,40.52833,5.0283914,0.0,0.0,0.9709302325581395,0.29439435515484125
Neuroectoderm 1,kifc3,40.260292,6.5606666,0.0,0.0,0.9325581395348838,0.06350450803606429
Neuroectoderm 1,atp1b2,39.61296,7.4273133,0.0,0.0,0.9093023255813953,0.032536260290082324
Neuroectoderm 1,phldb3,39.49675,6.6114125,0.0,0.0,0.9127906976744186,0.10544884359074873
Neuroectoderm 1,LOC100494753,39.42554,5.6510363,0.0,0.0,0.9302325581395349,0.20423363386907095
Neuroectoderm 1,palm2,39.232113,4.228719,0.0,0.0,0.958139534883721,0.3018424147393179
Neuroectoderm 1,epcam,39.18765,2.8406556,0.0,0.0,0.9930232558139535,0.6742453939631518
Neuroectoderm 1,tjp3,39.080967,6.195912,0.0,0.0,0.9058139534883721,0.08271266170129361
Neuroectoderm 1,ocln,39.049515,4.172372,0.0,0.0,0.9593023255813954,0.29988239905919245
Neuroectoderm 1,gramd2b,38.902412,5.6011915,0.0,0.0,0.9116279069767442,0.12073696589572716
Neuroectoderm 1,kirrel2,38.625244,5.6410675,0.0,0.0,0.9116279069767442,0.12975303802430418
Neuroectoderm 1,hpgd,38.337284,4.676629,0.0,0.0,0.9232558139534883,0.23206585652685222
Neuroectoderm 1,LOC100495222,37.576305,3.2318802,5.241138904984553e-309,6.353716224759329e-306,0.9825581395348837,0.5605644845158761
Neuroectoderm 1,dcbld1,37.522415,2.7217302,3.9709616408821305e-308,4.560544945562577e-305,0.977906976744186,0.7561740493923952
Neuroectoderm 1,krt70,37.037422,4.6331573,2.8626009749653888e-300,3.123240793735988e-297,0.8988372093023256,0.21168169345354762
Neuroectoderm 1,rassf7,36.822796,6.3012676,7.972710987401782e-297,8.284406021718777e-294,0.8558139534883721,0.04390435123480988
Neuroectoderm 1,gfod1,36.02488,4.4921746,3.412328208048852e-284,3.384564264901546e-281,0.8883720930232558,0.22696981575852607
Neuroectoderm 1,prss27,35.97281,5.5899296,2.2271727552427095e-283,2.0514044683990157e-280,0.8465116279069768,0.09055272442179538
